,master_ccl_id,ccl_name,ccle_primary_site,ccle_primary_hist,ccle_hist_subtype_1
801,155431,NCIH1623,lung,carcinoma,adenocarcinoma
802,155434,NCIH1650,lung,carcinoma,bronchioloalveolar_adenocarcinoma
803,155435,NCIH1651,lung,carcinoma,adenocarcinoma
804,155439,NCIH1693,lung,carcinoma,adenocarcinoma
805,155440,NCIH1694,lung,carcinoma,small_cell_carcinoma
806,155441,NCIH1703,lung,carcinoma,adenocarcinoma
807,155445,NCIH1734,lung,carcinoma,adenocarcinoma
808,155450,NCIH1792,lung,carcinoma,adenocarcinoma
809,155451,NCIH1793,lung,carcinoma,non_small_cell_carcinoma
810,155455,NCIH1838,lung,carcinoma,non_small_cell_carcinoma
811,155456,NCIH1869,lung,carcinoma,squamous_cell_carcinoma
812,155463,NCIH1915,lung,carcinoma,large_cell_carcinoma
813,155467,NCIH1944,lung,carcinoma,non_small_cell_carcinoma
814,155476,NCIH2009,lung,carcinoma,adenocarcinoma
815,155477,NCIH2023,lung,carcinoma,adenocarcinoma
816,155479,NCIH2029,lung,carcinoma,small_cell_carcinoma
817,155480,NCIH2030,lung,carcinoma,non_small_cell_carcinoma
819,155487,NCIH2081,lung,carcinoma,small_cell_carcinoma
820,155488,NCIH2085,lung,carcinoma,adenocarcinoma
821,155491,NCIH2106,lung,carcinoma,non_small_cell_carcinoma
822,155493,NCIH2110,lung,carcinoma,non_small_cell_carcinoma
823,155494,NCIH2126,lung,carcinoma,adenocarcinoma
824,155496,NCIH2141,lung,carcinoma,small_cell_carcinoma
825,155498,NCIH2170,lung,carcinoma,squamous_cell_carcinoma
826,155499,NCIH2171,lung,carcinoma,small_cell_carcinoma
827,155500,NCIH2172,lung,carcinoma,non_small_cell_carcinoma
828,155502,NCIH2196,lung,carcinoma,small_cell_carcinoma
829,155505,NCIH2228,lung,carcinoma,adenocarcinoma
830,155510,NCIH2286,lung,carcinoma,small_cell_carcinoma
831,155511,NCIH2291,lung,carcinoma,adenocarcinoma
832,155513,NCIH2342,lung,carcinoma,adenocarcinoma
833,155518,NCIH2405,lung,carcinoma,adenocarcinoma
834,155519,NCIH2444,lung,carcinoma,non_small_cell_carcinoma
103,162,COLO680N,oesophagus,carcinoma,squamous_cell_carcinoma
144,233,ECGI10,oesophagus,carcinoma,
365,580,KYSE140,oesophagus,carcinoma,squamous_cell_carcinoma
366,581,KYSE150,oesophagus,carcinoma,squamous_cell_carcinoma
367,582,KYSE180,oesophagus,carcinoma,squamous_cell_carcinoma
368,584,KYSE30,oesophagus,carcinoma,squamous_cell_carcinoma
369,585,KYSE410,oesophagus,carcinoma,squamous_cell_carcinoma
370,586,KYSE450,oesophagus,carcinoma,squamous_cell_carcinoma
371,587,KYSE510,oesophagus,carcinoma,squamous_cell_carcinoma
372,588,KYSE520,oesophagus,carcinoma,squamous_cell_carcinoma
373,589,KYSE70,oesophagus,carcinoma,squamous_cell_carcinoma
477,894,OE19,oesophagus,carcinoma,adenocarcinoma
478,895,OE21,oesophagus,carcinoma,squamous_cell_carcinoma
479,896,OE33,oesophagus,,metaplasia
690,1184,TE1,oesophagus,carcinoma,squamous_cell_carcinoma
691,1185,TE10,oesophagus,carcinoma,squamous_cell_carcinoma
692,1186,TE11,oesophagus,carcinoma,squamous_cell_carcinoma
693,1188,TE14,oesophagus,carcinoma,squamous_cell_carcinoma
694,1189,TE15,oesophagus,carcinoma,squamous_cell_carcinoma
695,1191,TE4,oesophagus,carcinoma,squamous_cell_carcinoma
697,1193,TE5,oesophagus,carcinoma,squamous_cell_carcinoma
698,1194,TE6,oesophagus,carcinoma,squamous_cell_carcinoma
700,1196,TE8,oesophagus,carcinoma,squamous_cell_carcinoma
701,1197,TE9,oesophagus,carcinoma,squamous_cell_carcinoma
20,29,A2780,ovary,carcinoma,adenocarcinoma
81,126,CAOV3,ovary,carcinoma,adenocarcinoma
115,185,COV362,ovary,carcinoma,
116,186,COV434,ovary,sex_cord_stromal_tumor,granulosa_cell_tumor
117,188,COV644,ovary,carcinoma,
147,237,EFO21,ovary,carcinoma,serous_carcinoma
148,238,EFO27,ovary,carcinoma,mucinous_carcinoma
156,247,ES2,ovary,carcinoma,clear_cell_carcinoma
163,261,FUOV1,ovary,carcinoma,serous_carcinoma
230,367,HEYA8,ovary,carcinoma,
284,473,IGROV1,ovary,carcinoma,adenocarcinoma
297,492,JHOC5,ovary,carcinoma,clear_cell_carcinoma
298,493,JHOM1,ovary,carcinoma,adenocarcinoma
299,495,JHOS2,ovary,carcinoma,adenocarcinoma
362,577,KURAMOCHI,ovary,carcinoma,undifferentiated_carcinoma
407,644,MCAS,ovary,carcinoma,adenocarcinoma
466,879,OAW28,ovary,carcinoma,
467,880,OAW42,ovary,carcinoma,
468,881,OC314,ovary,carcinoma,serous_carcinoma
480,898,ONCODG1,ovary,carcinoma,adenocarcinoma
485,905,OV56,ovary,carcinoma,
486,906,OV7,ovary,carcinoma,
487,907,OV90,ovary,carcinoma,mixed_carcinoma
488,908,OVCAR4,ovary,carcinoma,
490,910,OVCAR8,ovary,carcinoma,
491,911,OVISE,ovary,carcinoma,clear_cell_carcinoma
492,912,OVK18,ovary,carcinoma,endometrioid_carcinoma
493,915,OVSAHO,ovary,carcinoma,adenocarcinoma
494,916,OVTOKO,ovary,carcinoma,clear_cell_carcinoma
544,983,RMGI,ovary,carcinoma,clear_cell_carcinoma
595,1059,SKOV3,ovary,carcinoma,adenocarcinoma
607,1084,SNU119,ovary,carcinoma,adenocarcinoma
641,1123,SNU8,ovary,carcinoma,adenocarcinoma
643,1125,SNU840,ovary,carcinoma,Brenner_tumor
706,1208,TOV112D,ovary,carcinoma,endometrioid_carcinoma
707,1209,TOV21G,ovary,carcinoma,clear_cell_carcinoma
713,1217,TYKNU,ovary,carcinoma,undifferentiated_carcinoma
35,52,ASPC1,pancreas,carcinoma,ductal_carcinoma
59,101,BXPC3,pancreas,carcinoma,ductal_carcinoma
82,128,CAPAN1,pancreas,carcinoma,ductal_carcinoma
83,129,CAPAN2,pancreas,carcinoma,ductal_carcinoma
87,138,CFPAC1,pancreas,carcinoma,ductal_carcinoma
120,201,DANG,pancreas,carcinoma,
240,384,HPAC,pancreas,carcinoma,ductal_carcinoma
241,385,HPAFII,pancreas,carcinoma,ductal_carcinoma
250,421,HS766T,pancreas,carcinoma,ductal_carcinoma
277,462,HUPT3,pancreas,carcinoma,
278,463,HUPT4,pancreas,carcinoma,
354,566,KP2,pancreas,carcinoma,
355,567,KP3,pancreas,carcinoma,ductal_carcinoma
356,568,KP4,pancreas,carcinoma,ductal_carcinoma
375,591,L33,pancreas,carcinoma,
430,679,MIAPACA2,pancreas,carcinoma,ductal_carcinoma
498,920,PANC0203,pancreas,carcinoma,
499,922,PANC0327,pancreas,carcinoma,ductal_carcinoma
500,923,PANC0403,pancreas,carcinoma,
501,924,PANC0504,pancreas,carcinoma,
502,925,PANC0813,pancreas,carcinoma,ductal_carcinoma
503,926,PANC1,pancreas,carcinoma,ductal_carcinoma
504,927,PANC1005,pancreas,carcinoma,ductal_carcinoma
505,928,PATU8902,pancreas,carcinoma,ductal_carcinoma
506,929,PATU8988S,pancreas,carcinoma,ductal_carcinoma
507,930,PATU8988T,pancreas,carcinoma,ductal_carcinoma
517,944,PK1,pancreas,carcinoma,
518,945,PK45H,pancreas,carcinoma,
519,946,PK59,pancreas,carcinoma,
522,952,PSN1,pancreas,carcinoma,ductal_carcinoma
523,954,QGP1,pancreas,carcinoma,
615,1093,SNU213,pancreas,carcinoma,
622,1103,SNU410,pancreas,carcinoma,
655,1138,SU8686,pancreas,carcinoma,ductal_carcinoma
661,1145,SUIT2,pancreas,carcinoma,ductal_carcinoma
676,1160,SW1990,pancreas,carcinoma,ductal_carcinoma
688,1182,TCCPAN2,pancreas,carcinoma,
739,1277,YAPC,pancreas,carcinoma,
27,41,ACCMESO1,pleura,mesothelioma,
289,480,ISTMES1,pleura,mesothelioma,
307,504,JL1,pleura,mesothelioma,
450,705,MPP89,pleura,mesothelioma,
451,706,MSTO211H,pleura,mesothelioma,
765,155285,NCIH28,pleura,mesothelioma,
818,155481,NCIH2052,pleura,mesothelioma,
835,155520,NCIH2452,pleura,mesothelioma,
4,7,22RV1,prostate,carcinoma,
137,225,DU145,prostate,carcinoma,
389,618,LNCAPCLONEFGC,prostate,carcinoma,adenocarcinoma
509,932,PC3,prostate,carcinoma,adenocarcinoma
727,1249,VCAP,prostate,carcinoma,adenocarcinoma
778,155341,NCIH660,prostate,carcinoma,small_cell_carcinoma
19,28,A253,salivary_gland,carcinoma,mucoepidermoid_carcinoma
741,1279,YD15,salivary_gland,carcinoma,mucoepidermoid_carcinoma
15,23,A101D,skin,malignant_melanoma,
18,27,A2058,skin,malignant_melanoma,
21,30,A375,skin,malignant_melanoma,
61,103,C32,skin,malignant_melanoma,
93,146,CJM,skin,malignant_melanoma,
105,166,COLO741,skin,malignant_melanoma,
106,169,COLO792,skin,malignant_melanoma,
107,170,COLO800,skin,malignant_melanoma,
108,172,COLO829,skin,malignant_melanoma,
165,263,G361,skin,malignant_melanoma,
236,377,HMCB,skin,malignant_melanoma,
243,395,HS294T,skin,malignant_melanoma,
247,410,HS688AT,skin,malignant_melanoma,
252,426,HS839T,skin,malignant_melanoma,
253,428,HS852T,skin,malignant_melanoma,
255,434,HS895T,skin,malignant_melanoma,
256,436,HS934T,skin,malignant_melanoma,
257,437,HS936T,skin,malignant_melanoma,
258,439,HS940T,skin,malignant_melanoma,
259,440,HS944T,skin,malignant_melanoma,
268,450,HT144,skin,malignant_melanoma,
281,470,IGR1,skin,malignant_melanoma,
282,471,IGR37,skin,malignant_melanoma,
283,472,IGR39,skin,malignant_melanoma,
287,478,IPC298,skin,malignant_melanoma,
314,512,K029AX,skin,malignant_melanoma,
392,623,LOXIMVI,skin,malignant_melanoma,
405,641,MALME3M,skin,malignant_melanoma,
413,655,MDAMB435S,skin,malignant_melanoma,
419,666,MELHO,skin,malignant_melanoma,
420,667,MELJUSO,skin,malignant_melanoma,
422,669,MEWO,skin,malignant_melanoma,
546,991,RPMI7951,skin,malignant_melanoma,
552,1000,RVH421,skin,malignant_melanoma,
567,1025,SH4,skin,malignant_melanoma,
579,1040,SKMEL1,skin,malignant_melanoma,
580,1041,SKMEL2,skin,malignant_melanoma,
581,1042,SKMEL24,skin,malignant_melanoma,
582,1043,SKMEL28,skin,malignant_melanoma,
583,1044,SKMEL3,skin,malignant_melanoma,
584,1045,SKMEL30,skin,malignant_melanoma,
585,1046,SKMEL31,skin,malignant_melanoma,
586,1047,SKMEL5,skin,malignant_melanoma,
720,1232,UACC257,skin,malignant_melanoma,
721,1233,UACC62,skin,malignant_melanoma,
732,1255,WM115,skin,malignant_melanoma,
733,1256,WM1799,skin,malignant_melanoma,
734,1260,WM2664,skin,malignant_melanoma,
735,1270,WM793,skin,malignant_melanoma,
736,1271,WM88,skin,malignant_melanoma,
737,1273,WM983B,skin,malignant_melanoma,
17,26,A204,soft_tissue,rhabdoid_tumor,
166,264,G401,soft_tissue,rhabdoid_tumor,
167,265,G402,soft_tissue,rhabdoid_tumor,
171,271,GCT,soft_tissue,malignant_fibrous_histiocytoma_pleomorphic_sarcoma,
248,414,HS729,soft_tissue,rhabdomyosarcoma,
264,446,HT1080,soft_tissue,fibrosarcoma,
363,578,KYM1,soft_tissue,rhabdomyosarcoma,
421,668,MESSA,soft_tissue,sarcoma,
528,961,RD,soft_tissue,rhabdomyosarcoma,embryonal
536,973,RH18,soft_tissue,rhabdomyosarcoma,alveolar
537,975,RH30,soft_tissue,rhabdomyosarcoma,alveolar
538,976,RH41,soft_tissue,rhabdomyosarcoma,alveolar
540,978,RKN,soft_tissue,leiomyosarcoma,
576,1037,SKLMS1,soft_tissue,sarcoma,
596,1063,SKUT1,soft_tissue,leiomyosarcoma,
696,1192,TE441T,soft_tissue,rhabdomyosarcoma,
699,1195,TE617T,soft_tissue,rhabdomyosarcoma,
3,4,2313287,stomach,carcinoma,adenocarcinoma
29,44,AGS,stomach,carcinoma,adenocarcinoma
142,231,ECC10,stomach,carcinoma,small_cell_adenocarcinoma
143,232,ECC12,stomach,carcinoma,small_cell_adenocarcinoma
162,259,FU97,stomach,carcinoma,diffuse_adenocarcinoma
178,285,GSS,stomach,carcinoma,adenocarcinoma
179,286,GSU,stomach,carcinoma,adenocarcinoma
231,368,HGC27,stomach,carcinoma,undifferentiated_adenocarcinoma
249,418,HS746T,stomach,carcinoma,
272,456,HUG1N,stomach,carcinoma,
285,474,IM95,stomach,carcinoma,intestinal_adenocarcinoma
322,522,KATOIII,stomach,carcinoma,adenocarcinoma
325,526,KE39,stomach,carcinoma,
386,603,LMSU,stomach,carcinoma,adenocarcinoma
433,682,MKN1,stomach,carcinoma,mixed_adenosquamous_carcinoma
434,683,MKN45,stomach,carcinoma,diffuse_adenocarcinoma
435,684,MKN7,stomach,carcinoma,tubular_adenocarcinoma
436,685,MKN74,stomach,carcinoma,tubular_adenocarcinoma
457,723,NCCSTCK140,stomach,carcinoma,
464,877,NUGC3,stomach,carcinoma,
465,878,NUGC4,stomach,carcinoma,signet_ring_adenocarcinoma
476,893,OCUM1,stomach,carcinoma,diffuse_adenocarcinoma
566,1024,SH10TC,stomach,carcinoma,
599,1075,SNU1,stomach,carcinoma,undifferentiated_adenocarcinoma
611,1089,SNU16,stomach,carcinoma,undifferentiated_adenocarcinoma
616,1094,SNU216,stomach,carcinoma,
630,1111,SNU5,stomach,carcinoma,undifferentiated_adenocarcinoma
632,1114,SNU601,stomach,carcinoma,
634,1116,SNU620,stomach,carcinoma,
636,1118,SNU668,stomach,carcinoma,signet_ring_adenocarcinoma
638,1120,SNU719,stomach,carcinoma,
764,134841,NCIN87,stomach,carcinoma,
12,20,8305C,thyroid,carcinoma,anaplastic_carcinoma
13,21,8505C,thyroid,carcinoma,anaplastic_carcinoma
39,57,BCPAP,thyroid,carcinoma,papillary_carcinoma
45,64,BHT101,thyroid,carcinoma,anaplastic_carcinoma
74,119,CAL62,thyroid,carcinoma,anaplastic_carcinoma
88,139,CGTHW1,thyroid,carcinoma,follicular_carcinoma
160,257,FTC133,thyroid,carcinoma,follicular_carcinoma
161,258,FTC238,thyroid,carcinoma,follicular_carcinoma
437,686,ML1,thyroid,carcinoma,follicular_carcinoma
678,1165,SW579,thyroid,carcinoma,anaplastic_carcinoma
708,1210,TT2609C02,thyroid,carcinoma,follicular_carcinoma
709,1212,TTTHYROID,thyroid,carcinoma,medullary_carcinoma
46,65,BHY,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
47,66,BICR16,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
48,67,BICR18,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
49,68,BICR22,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
50,69,BICR31,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
51,70,BICR56,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
52,71,BICR6,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
69,114,CAL27,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
71,116,CAL33,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
126,208,DETROIT562,upper_aerodigestive_tract,carcinoma,
159,255,FADU,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
260,441,HSC2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
261,442,HSC3,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
262,443,HSC4,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
510,935,PECAPJ15,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
511,937,PECAPJ34CLONEC12,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
512,939,PECAPJ41CLONED2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
513,940,PECAPJ49,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
556,1008,SCC25,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
557,1009,SCC4,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
558,1010,SCC9,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
601,1078,SNU1041,upper_aerodigestive_tract,carcinoma,
602,1079,SNU1066,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
603,1080,SNU1076,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
609,1087,SNU1214,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
625,1106,SNU46,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
647,1129,SNU899,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
740,1278,YD10B,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
742,1280,YD38,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
743,1281,YD8,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma
2,3,5637,urinary_tract,carcinoma,
5,8,253J,urinary_tract,carcinoma,transitional_cell_carcinoma
6,9,253JBV,urinary_tract,carcinoma,transitional_cell_carcinoma
8,14,639V,urinary_tract,carcinoma,transitional_cell_carcinoma
9,15,647V,urinary_tract,carcinoma,transitional_cell_carcinoma
37,55,BC3C,urinary_tract,carcinoma,transitional_cell_carcinoma
43,61,BFTC905,urinary_tract,carcinoma,transitional_cell_carcinoma
70,115,CAL29,urinary_tract,carcinoma,transitional_cell_carcinoma
266,448,HT1197,urinary_tract,carcinoma,
267,449,HT1376,urinary_tract,carcinoma,transitional_cell_carcinoma
290,482,J82,urinary_tract,carcinoma,transitional_cell_carcinoma
309,506,JMSU1,urinary_tract,carcinoma,
333,537,KMBC2,urinary_tract,carcinoma,
360,575,KU1919,urinary_tract,carcinoma,transitional_cell_carcinoma
550,997,RT112,urinary_tract,carcinoma,transitional_cell_carcinoma
551,999,RT4,urinary_tract,carcinoma,transitional_cell_carcinoma
555,1006,SCABER,urinary_tract,carcinoma,transitional_cell_carcinoma
674,1158,SW1710,urinary_tract,carcinoma,transitional_cell_carcinoma
681,1172,T24,urinary_tract,carcinoma,transitional_cell_carcinoma
689,1183,TCCSUP,urinary_tract,carcinoma,transitional_cell_carcinoma
723,1236,UBLC1,urinary_tract,carcinoma,transitional_cell_carcinoma
724,1243,UMUC1,urinary_tract,carcinoma,transitional_cell_carcinoma
725,1244,UMUC3,urinary_tract,carcinoma,transitional_cell_carcinoma
728,1250,VMCUB1,urinary_tract,carcinoma,transitional_cell_carcinoma
136,223,DOV13,Other,,
151,241,EKVX,Other,,
237,381,HOP62,Other,,
238,382,HOP92,Other,,
489,909,OVCAR5,Other,,
545,990,RPMI6666,Other,,
563,1017,SF268,Other,,
565,1019,SF539,Other,,
597,1073,SNB75,Other,,
726,1245,UO31,Other,,
